0,Type,ID,Created,Description,Amount,Currency,Converted Amount,Fees,Net,Converted Currency,Details,Customer ID,Customer Email,Customer Name,purpose (metadata),phorest_client_id (metadata)
51135,Charge,ch_3SFpfJLrnBTnlT7b1rFBgRqF,08/10/2025 05:11,CASHBOOK,108.9,aud,108.9,0,108.9,aud,51135_for_stripe,cus_SuDvLn0kdaj0DM,,,addnewcard,51135
51134,Charge,ch_3SFpflLrnBTnlT7b15qGtfUr,08/10/2025 05:12,CASHBOOK,108.9,aud,108.9,0,108.9,aud,51134_for_stripe,cus_SuDyphgP0RQDcB,,,addnewcard,51134
51353,Charge,ch_3SFpklLrnBTnlT7b1xMGZQXV,08/10/2025 05:17,CASHBOOK,54.45,aud,54.45,0,54.45,aud,51353_for_stripe,cus_O9oVYY6DJj0mAu,,,paysignupbycard1,51353
58731,Charge,ch_3SFplWLrnBTnlT7b0GZAU0Sp,08/10/2025 05:18,CASHBOOK,54.45,aud,54.45,0,54.45,aud,58731_for_stripe,cus_Pjce6gICsuy6ar,,,paysignupbycard1,58731
94922,Charge,ch_3SG9hULrnBTnlT7b0vBkFJ3m,09/10/2025 02:35,94922:Shine Skin and Body,108.9,aud,108.9,0,108.9,aud,,,,,,
100910,Charge,ch_3SGsbzLrnBTnlT7b0UJLR4vj,11/10/2025 02:32,100910:Natural Health and Beauty with Endermologie,382.25,aud,382.25,0,382.25,aud,100910_for_stripe,cus_TDJE3hQxpBW2Dw,,,addnewcard,100910
100967,Charge,ch_3SHZfxLrnBTnlT7b0T5JpOLY,13/10/2025 00:31,100967:South Metropolitan Tafe Murdoch,217.25,aud,217.25,0,217.25,aud,100967_for_stripe,cus_TE1jIzl7kQrFYj,,,addnewcard,100967
100970,Charge,ch_3SHaoXLrnBTnlT7b0TYJnnlF,13/10/2025 01:44,100970:South Metropolitan TAFE Mandurah Campus,217.25,aud,217.25,0,217.25,aud,100970_for_stripe,cus_TE2uYyXsiL734e,,,addnewcard,100970
100977,Charge,ch_3SHcqVLrnBTnlT7b1fwEQeNO,13/10/2025 03:54,100977:Christopher John Salon,272.25,aud,272.25,0,272.25,aud,100977_for_stripe,cus_TE501ObtH1nSyl,,,addnewcard,100977
100980,Charge,ch_3SHi4VLrnBTnlT7b1I3oz2fF,13/10/2025 09:29,100980:Skin Ethos,382.25,aud,382.25,0,382.25,aud,100980_for_stripe,cus_TEAPatRDHp2bUP,,,addnewcard,100980
101054,Charge,ch_3SHsteLrnBTnlT7b1aTHRkHg,13/10/2025 21:03,101054:Shelley and Co,382.25,aud,382.25,0,382.25,aud,101054_for_stripe,cus_TELaxw5NvMYKJ5,,,addnewcard,101054
100046,Charge,ch_3SHu4CLrnBTnlT7b0c8kFdWR,13/10/2025 22:18,CASHBOOK,108.9,aud,108.9,0,108.9,aud,100046_for_stripe,cus_TARPcTozSffbSj,,,addnewcard,100046
96495,Charge,ch_3SHu4iLrnBTnlT7b1AHU1oRV,13/10/2025 22:18,CASHBOOK,108.9,aud,108.9,0,108.9,aud,96495_for_stripe,cus_T1P38Bk46raJy8,,,addnewcard,96495
71654,Charge,ch_3SHucqLrnBTnlT7b0oqaBOwn,13/10/2025 22:53,CASHBOOK,108.9,aud,108.9,0,108.9,aud,71654_for_stripe,cus_RpDeY6icP6stz5,,,addnewcard,71654
100968,Charge,ch_3SI2twLrnBTnlT7b1K9w3kOw,14/10/2025 07:44,100968:The Brow Connection,382.25,aud,382.25,0,382.25,aud,100968_for_stripe,cus_TEVvgHwJ8sYYPQ,,,addnewcard,100968
101061,Charge,ch_3SI606LrnBTnlT7b0qkUB1oD,14/10/2025 11:03,101061:The Bodyy Shape Aesthetic Pty Ltd,382.25,aud,382.25,0,382.25,aud,101061_for_stripe,cus_TEZ89IW72YpTcZ,,,addnewcard,101061
21587,Charge,ch_3SI9nbLrnBTnlT7b13x10cKv,14/10/2025 15:06,21587:Zienna Hair & Co.,377.65,aud,377.65,0,377.65,aud,21587_for_stripe,cus_SuJIxCsOlRYmGF,,,addnewcard,21587
27750,Charge,ch_3SI9ndLrnBTnlT7b02kI0Vx7,14/10/2025 15:06,27750:Iris Skin & Beauty,587.83,aud,587.83,0,587.83,aud,27750_for_stripe,cus_SY8WeQRxbu9dz1,,,addnewcard,27750
44934,Charge,ch_3SI9nrLrnBTnlT7b0P3UfvMA,14/10/2025 15:06,44934:Clay and Co Hair Design,425.13,aud,425.13,0,425.13,aud,44934_for_stripe,cus_Oq5pgqoplfvtTt,,,addnewcard,44934
51134,Charge,ch_3SI9nuLrnBTnlT7b1coHFlds,14/10/2025 15:06,51134:EMP Collective pty ltd,338.47,aud,338.47,0,338.47,aud,51134_for_stripe,cus_SuDyphgP0RQDcB,,,addnewcard,51134
51135,Charge,ch_3SI9nwLrnBTnlT7b11tJHSGG,14/10/2025 15:06,51135:EMP Collective pty ltd,340.07,aud,340.07,0,340.07,aud,51135_for_stripe,cus_SuDvLn0kdaj0DM,,,addnewcard,51135
51353,Charge,ch_3SI9nyLrnBTnlT7b1LswerzN,14/10/2025 15:06,51353:Elle Studio Australia,441.97,aud,441.97,0,441.97,aud,51353_for_stripe,cus_O9oVYY6DJj0mAu,,,paysignupbycard1,51353
56700,Charge,ch_3SI9o1LrnBTnlT7b1iD1HhVT,14/10/2025 15:06,56700:Untangled Hairstylists,390.08,aud,390.08,0,390.08,aud,56700_for_stripe,cus_P7fGCH8HwRuQgg,,,paysignupbycard1,56700
57571,Charge,ch_3SI9o6LrnBTnlT7b1GMHgTdp,14/10/2025 15:06,57571:Envy Aesthetics,382.8,aud,382.8,0,382.8,aud,57571_for_stripe,cus_PRAucUiqdNyBxd,,,paysignupbycard1,57571
58731,Charge,ch_3SI9o9LrnBTnlT7b01PwnUkR,14/10/2025 15:06,58731:Belledonne,475.5,aud,475.5,0,475.5,aud,58731_for_stripe,cus_Pjce6gICsuy6ar,,,paysignupbycard1,58731
62080,Charge,ch_3SI9oELrnBTnlT7b1Sjawcf3,14/10/2025 15:06,62080:ASRI Hair Studio Pty Ltd,337.7,aud,337.7,0,337.7,aud,62080_for_stripe,cus_R24pmf9FvomdFw,,,addnewcard,62080
71654,Charge,ch_3SI9oGLrnBTnlT7b0l7LaFRP,14/10/2025 15:06,71654:PAUSE Cosmetic Skin Clinic,1430.23,aud,1430.23,0,1430.23,aud,71654_for_stripe,cus_RpDeY6icP6stz5,,,addnewcard,71654
83821,Charge,ch_3SI9oLLrnBTnlT7b0NCB2hoH,14/10/2025 15:06,83821:MediPedi North Adelaide,434.05,aud,434.05,0,434.05,aud,83821_for_stripe,cus_SJ7TCfSIzuYm7k,,,addnewcard,83821
92706,Charge,ch_3SI9oNLrnBTnlT7b04gicBQl,14/10/2025 15:06,92706:Blue Lagoon Float and Spa,378.9,aud,378.9,0,378.9,aud,92706_for_stripe,cus_SqnD16ajkaJcCY,,,addnewcard,92706
92712,Charge,ch_3SI9oQLrnBTnlT7b0usEOAGO,14/10/2025 15:06,92712:Roxbury Salon,696.05,aud,696.05,0,696.05,aud,92712_for_stripe,cus_SqrtgZuWgLM2mN,,,addnewcard,92712
94825,Charge,ch_3SI9oaLrnBTnlT7b0ochdO7m,14/10/2025 15:07,94825:SkinSpirit Day Spa,42.9,aud,42.9,0,42.9,aud,94825_for_stripe,cus_SyLXtiVaTvb1OT,,,addnewcard,94825
97763,Charge,ch_3SI9odLrnBTnlT7b0BjEDOrx,14/10/2025 15:07,97763:Globar,151.8,aud,151.8,0,151.8,aud,97763_for_stripe,cus_T3YeoC2RVk4jkd,,,addnewcard,97763
51826,Charge,ch_3SI9ofLrnBTnlT7b0BAHx3yk,14/10/2025 15:07,51826:Enchanted Skin & Beauty,1.78,aud,1.78,0,1.78,aud,51826_for_stripe,cus_RdakMfPKJ2ryut,,,addnewcard,51826
17580,Charge,ch_3SI9okLrnBTnlT7b0Pz9N23N,14/10/2025 15:07,17580:Skindeep Mullaloo,396.06,aud,396.06,0,396.06,aud,17580_for_stripe,cus_QWa6L3OoOAlpOC,,,addnewcard,17580
17581,Charge,ch_3SI9omLrnBTnlT7b06iCl34s,14/10/2025 15:07,17581:Studio Skin and Beauty,369.95,aud,369.95,0,369.95,aud,17581_for_stripe,cus_LUE8xvFNUqbLmP,,,addnewcard,17581
17582,Charge,ch_3SI9opLrnBTnlT7b0KuaStjk,14/10/2025 15:07,17582:SD Medispa PTY trading as Skindeep Floreat,396.06,aud,396.06,0,396.06,aud,17582_for_stripe,cus_QTzXey2NZYfXrI,,,addnewcard,17582
17961,Charge,ch_3SI9orLrnBTnlT7b1lXP86Gl,14/10/2025 15:07,17961:Mia Bella,387.09,aud,387.09,0,387.09,aud,17961_for_stripe,cus_NdvzuqqW5XZD8A,,,addnewcard,17961
17969,Charge,ch_3SI9otLrnBTnlT7b0gP5R8dy,14/10/2025 15:07,17969:Orb Hair Beauty,1086.95,aud,1086.95,0,1086.95,aud,17969_for_stripe,cus_NwGvfJQzW1iCwu,,,addnewcard,17969
18281,Charge,ch_3SI9owLrnBTnlT7b1th18u2w,14/10/2025 15:07,18281:Blush Professional Beauty Touch,663.28,aud,663.28,0,663.28,aud,18281_for_stripe,cus_Se50PsaEIKOcNp,,,addnewcard,18281
18284,Charge,ch_3SI9oyLrnBTnlT7b0xkiNaH7,14/10/2025 15:07,18284:Pure Skin Retreat,369.8,aud,369.8,0,369.8,aud,18284_for_stripe,cus_K5htbIabwHN17B,,,addnewcard,18284
18302,Charge,ch_3SI9p0LrnBTnlT7b0aa1bnhC,14/10/2025 15:07,18302:The Skin Clinic,427.67,aud,427.67,0,427.67,aud,18302_for_stripe,cus_J23bi2J2TXzAcC,info+18302_S616HDW6@phorest.com,,addnewcard,18302
18401,Charge,ch_3SI9p6LrnBTnlT7b1n2q8B1R,14/10/2025 15:07,18401:La Bella Skin & Body,367.31,aud,367.31,0,367.31,aud,18401_for_stripe,cus_KQMCjhLmrm5Cru,,,addnewcard,18401
18695,Charge,ch_3SI9p8LrnBTnlT7b1ZD00dAV,14/10/2025 15:07,18695:Eve and Co Hair,334.64,aud,334.64,0,334.64,aud,18695_for_stripe,cus_Qhtkp4OCyTnTmz,,,addnewcard,18695
18753,Charge,ch_3SI9pBLrnBTnlT7b1hR3Dt64,14/10/2025 15:07,18753:Dermalogica QVB,441.62,aud,441.62,0,441.62,aud,18753_for_stripe,cus_QPu7fIph7FCFeN,,,addnewcard,18753
18829,Charge,ch_3SI9pDLrnBTnlT7b0OgzeHVX,14/10/2025 15:07,18829:Chumba Concept Salon,257,aud,257,0,257,aud,18829_for_stripe,cus_QMAMb0WUNFS3sM,,,addnewcard,18829
18832,Charge,ch_3SI9pFLrnBTnlT7b1aNDX7Eq,14/10/2025 15:07,18832:Chumba Concept Salon - Windsor,286.74,aud,286.74,0,286.74,aud,18832_for_stripe,cus_QKfuQVo3jJOOgD,,,addnewcard,18832
18838,Charge,ch_3SI9pKLrnBTnlT7b0L2iQ5KK,14/10/2025 15:07,18838:Beauty at rivoli,462.26,aud,462.26,0,462.26,aud,18838_for_stripe,cus_SuFqiMSuCvz9zX,,,addnewcard,18838
18901,Charge,ch_3SI9pNLrnBTnlT7b0KTvZ3yq,14/10/2025 15:07,18901:Mien Salon Spa,416.9,aud,416.9,0,416.9,aud,18901_for_stripe,cus_GDFgcDq1RvxJGh,info+18901_11FXHG6U@phorest.com,,addnewcard,18901
18927,Charge,ch_3SI9pQLrnBTnlT7b1tFcj2nV,14/10/2025 15:07,18927:Togninis,788.95,aud,788.95,0,788.95,aud,18927_for_stripe,cus_NbgXPVDmFk4T4G,,,addnewcard,18927
18976,Charge,ch_3SI9pZLrnBTnlT7b0pnsMonK,14/10/2025 15:08,18976:MediPedi Norwood,334.4,aud,334.4,0,334.4,aud,18976_for_stripe,cus_MVWmVMWgr2Ein7,,,addnewcard,18976
18977,Charge,ch_3SI9pcLrnBTnlT7b0zlcSoxt,14/10/2025 15:08,18977:MediPedi Goodwood,334.4,aud,334.4,0,334.4,aud,18977_for_stripe,cus_LFF8uvq4BZ3hhf,,,addnewcard,18977
19008,Charge,ch_3SI9peLrnBTnlT7b1IxmnT6l,14/10/2025 15:08,19008:Stratford As You Like It Hair & Beauty,349.04,aud,349.04,0,349.04,aud,19008_for_stripe,cus_Pyusf3PTEYCAIh,,,addnewcard,19008
